ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
9200,0.027,0.000,0.036,0.000,<frozen importlib._bootstrap>:1053(_handle_fromlist)
91126,0.211,0.000,0.303,0.000,<string>:1(<lambda>)
1,0.000,0.000,2506.380,2506.380,<string>:1(<module>)
2300,1.441,0.001,5.201,0.002,StringSpans.py:13(_get_words)
2300,1.225,0.001,1.561,0.001,StringSpans.py:37(<listcomp>)
2300,1.047,0.000,1.047,0.000,StringSpans.py:41(<listcomp>)
2300,0.041,0.000,5.242,0.002,StringSpans.py:48(_set_spans)
1149,0.012,0.000,0.012,0.000,StringSpans.py:55(replace_word)
1269,0.002,0.000,0.002,0.000,StringSpans.py:76(get)
2300,0.013,0.000,5.256,0.002,StringSpans.py:8(__init__)
1,0.000,0.000,2506.370,2506.370,Typo.py:34(slots)
1,0.006,0.006,2506.380,2506.380,Typo.py:45(spaces)
1,0.000,0.000,0.000,0.000,Typo.py:54(<listcomp>)
924,0.001,0.000,0.001,0.000,Typo.py:57(<genexpr>)
79613,0.292,0.000,2.151,0.000,UDict.py:29(check_word)
182252,0.455,0.000,0.868,0.000,__init__.py:1455(debug)
182252,0.413,0.000,0.413,0.000,__init__.py:1724(isEnabledFor)
91126,0.729,0.000,6.897,0.000,__init__.py:299(loads)
2182,0.013,0.000,0.048,0.000,__init__.py:565(__init__)
2182,0.025,0.000,0.046,0.000,__init__.py:588(most_common)
10557,0.048,0.000,0.142,0.000,__init__.py:61(distance)
2182,0.012,0.000,0.034,0.000,__init__.py:640(update)
91126,1.133,0.000,4.844,0.000,_collections.py:141(__init__)
638095,1.999,0.000,2.491,0.000,_collections.py:156(__getitem__)
364504,0.604,0.000,0.675,0.000,_collections.py:187(__iter__)
273378,0.803,0.000,1.298,0.000,_collections.py:215(add)
91126,1.228,0.000,3.309,0.000,_collections.py:231(extend)
182252,0.825,0.000,1.631,0.000,_collections.py:47(__init__)
91126,0.425,0.000,0.615,0.000,_collections.py:54(__getitem__)
91126,0.640,0.000,0.845,0.000,_collections.py:61(__setitem__)
182252,1.825,0.000,38.084,0.000,_collections.py:92(clear)
1002599,3.218,0.000,8.972,0.000,_collections_abc.py:816(get)
535243,1.508,0.000,5.614,0.000,_collections_abc.py:823(__contains__)
729008,1.386,0.000,2.178,0.000,_collections_abc.py:835(items)
729008,0.792,0.000,0.792,0.000,_collections_abc.py:857(__init__)
91126,0.123,0.000,0.471,0.000,_collections_abc.py:860(__len__)
43375976,62.329,0.000,256.583,0.000,_collections_abc.py:904(__iter__)
820134,5.922,0.000,15.477,0.000,_collections_abc.py:986(update)
455630,0.450,0.000,0.576,0.000,_internal_utils.py:23(to_native_string)
91126,0.232,0.000,0.346,0.000,_internal_utils.py:36(unicode_is_ascii)
729008,1.424,0.000,3.072,0.000,_policybase.py:281(_sanitize_header)
273378,1.461,0.000,2.269,0.000,_policybase.py:293(header_source_parse)
729008,0.934,0.000,4.006,0.000,_policybase.py:311(header_fetch_parse)
402,0.003,0.000,0.005,0.000,_regex_core.py:1714(_compile_replacement)
201,0.001,0.000,0.001,0.000,_regex_core.py:3995(__init__)
1672,0.003,0.000,0.003,0.000,_regex_core.py:4007(get)
2553710,2.571,0.000,6.246,0.000,abc.py:117(__instancecheck__)
182252,1.956,0.000,8.943,0.000,adapters.py:136(__init__)
182252,0.975,0.000,4.387,0.000,adapters.py:174(init_poolmanager)
91126,0.367,0.000,0.507,0.000,adapters.py:239(cert_verify)
91126,1.650,0.000,25.127,0.000,adapters.py:296(build_response)
91126,0.916,0.000,69.656,0.001,adapters.py:333(get_connection)
182252,0.994,0.000,39.717,0.000,adapters.py:362(close)
91126,0.639,0.000,10.532,0.000,adapters.py:372(request_url)
91126,0.059,0.000,0.059,0.000,adapters.py:401(add_headers)
91126,3.128,0.000,1713.532,0.019,adapters.py:436(send)
182252,0.362,0.000,0.362,0.000,adapters.py:74(__init__)
91126,1.557,0.000,2407.274,0.026,api.py:14(request)
91126,2.408,0.000,2409.681,0.026,api.py:62(get)
546756,0.670,0.000,0.890,0.000,client.py:1007(_output)
91126,0.728,0.000,241.648,0.003,client.py:1028(_send_output)
91126,2.204,0.000,6.762,0.000,client.py:1082(putrequest)
91126,0.139,0.000,0.252,0.000,client.py:1209(_encode_request)
91126,0.155,0.000,0.255,0.000,client.py:1213(_validate_method)
91126,0.128,0.000,0.273,0.000,client.py:1222(_validate_path)
91126,0.213,0.000,0.454,0.000,client.py:1230(_validate_host)
455630,4.087,0.000,7.459,0.000,client.py:1238(putheader)
91126,0.501,0.000,242.149,0.003,client.py:1266(endheaders)
91126,0.441,0.000,264.871,0.003,client.py:1279(request)
91126,2.824,0.000,264.430,0.003,client.py:1284(_send_request)
455630,0.662,0.000,1.069,0.000,client.py:1286(<genexpr>)
91126,1.435,0.000,1256.044,0.014,client.py:1330(getresponse)
91126,1.512,0.000,2.617,0.000,client.py:206(_read_headers)
91126,1.522,0.000,39.277,0.000,client.py:224(parse_headers)
91126,1.209,0.000,5.765,0.000,client.py:248(__init__)
91126,2.283,0.000,1204.255,0.013,client.py:278(_read_status)
91126,3.073,0.000,1248.844,0.014,client.py:311(begin)
91126,0.224,0.000,0.623,0.000,client.py:383(_check_close)
91126,0.268,0.000,1.904,0.000,client.py:412(_close_conn)
91126,0.694,0.000,1.389,0.000,client.py:417(close)
91126,0.324,0.000,0.390,0.000,client.py:429(flush)
364930,0.290,0.000,0.290,0.000,client.py:440(isclosed)
91339,1.908,0.000,14.604,0.000,client.py:450(read)
91126,0.235,0.000,0.287,0.000,client.py:805(_get_content_length)
91126,1.222,0.000,2.070,0.000,client.py:837(__init__)
91126,0.114,0.000,0.114,0.000,client.py:883(_get_hostport)
91126,0.775,0.000,17.507,0.000,client.py:953(close)
91126,1.337,0.000,240.754,0.003,client.py:967(send)
91126,0.137,0.000,0.137,0.000,codecs.py:260(__init__)
91126,0.337,0.000,0.474,0.000,codecs.py:309(__init__)
182252,0.790,0.000,1.133,0.000,codecs.py:319(decode)
182252,0.142,0.000,0.142,0.000,codecs.py:331(getstate)
91126,0.370,0.000,1.678,0.000,connection.py:100(_set_socket_options)
91126,0.223,0.000,0.223,0.000,connection.py:108(allowed_gai_family)
91126,1.220,0.000,3.525,0.000,connection.py:115(__init__)
182252,0.266,0.000,0.376,0.000,connection.py:132(host)
91126,0.070,0.000,0.070,0.000,connection.py:151(host)
91126,0.959,0.000,231.128,0.003,connection.py:161(_new_conn)
91126,0.229,0.000,0.335,0.000,connection.py:192(_is_using_tunnel)
91126,0.354,0.000,0.689,0.000,connection.py:196(_prepare_conn)
91126,0.599,0.000,232.416,0.003,connection.py:204(connect)
