   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 3168829257.py:11(flush)
        8    0.000    0.000    0.000    0.000 3168829257.py:7(write)
     1264    0.225    0.000    0.513    0.000 3502210059.py:1(get_words)
        1    0.000    0.000  334.495  334.495 3502210059.py:119(valid_rules_scan)
        1    0.000    0.000    0.001    0.001 3502210059.py:129(chunker)
    84688    0.056    0.000    0.056    0.000 3502210059.py:13(<lambda>)
    41646    0.057    0.000    0.388    0.000 3502210059.py:147(word_we_misspelled)
      631    0.056    0.000    0.087    0.000 3502210059.py:15(detokenize)
    41646    0.105    0.000    3.130    0.000 3502210059.py:160(spell_word)
      631    1.905    0.003  334.019    0.529 3502210059.py:164(normalize)
      631    0.013    0.000  170.888    0.271 3502210059.py:180(<listcomp>)
      631    0.045    0.000    3.176    0.005 3502210059.py:186(<listcomp>)
    41646    0.065    0.000    0.331    0.000 3502210059.py:200(string_mutation_distance)
      631    0.006    0.000    0.086    0.000 3502210059.py:37(apply_match)
        1    0.016    0.016    0.017    0.017 3502210059.py:45(keyboard_rules_scan)
        1    0.001    0.001    0.002    0.002 3502210059.py:52(word_rules_scan)
        1    0.000    0.000    0.021    0.021 3502210059.py:60(rules_scan)
        1    0.013    0.013  334.473  334.473 3502210059.py:64(valid_matches)
      631    0.000    0.000    0.000    0.000 3502210059.py:66(<lambda>)
        1    0.009    0.009    0.009    0.009 3502210059.py:87(<listcomp>)
        1    0.000    0.000    0.000    0.000 3502210059.py:91(<listcomp>)
      631    0.078    0.000    0.430    0.001 3502210059.py:94(apply_match_and_validate)
        1    0.000    0.000  334.495  334.495 4247934101.py:26(slots)
        1    0.002    0.002  334.499  334.499 4247934101.py:40(spaces)
        1    0.000    0.000    0.000    0.000 4247934101.py:49(<listcomp>)
      628    0.000    0.000    0.000    0.000 4247934101.py:52(<genexpr>)
     2524    0.007    0.000    0.010    0.000 <string>:1(<lambda>)
        1    0.000    0.000  334.499  334.499 <string>:1(<module>)
     5048    0.017    0.000    0.030    0.000 __init__.py:1455(debug)
     5048    0.013    0.000    0.013    0.000 __init__.py:1724(isEnabledFor)
     2524    0.024    0.000    0.197    0.000 __init__.py:299(loads)
    41646    0.076    0.000    0.266    0.000 __init__.py:61(distance)
     2524    0.034    0.000    0.144    0.000 _collections.py:141(__init__)
    17676    0.068    0.000    0.084    0.000 _collections.py:156(__getitem__)
    10096    0.019    0.000    0.021    0.000 _collections.py:187(__iter__)
     7572    0.022    0.000    0.039    0.000 _collections.py:215(add)
     2524    0.035    0.000    0.100    0.000 _collections.py:231(extend)
     5048    0.027    0.000    0.058    0.000 _collections.py:47(__init__)
     2524    0.013    0.000    0.020    0.000 _collections.py:54(__getitem__)
     2524    0.021    0.000    0.028    0.000 _collections.py:61(__setitem__)
     5048    0.060    0.000    1.201    0.000 _collections.py:92(clear)
    27772    0.098    0.000    0.288    0.000 _collections_abc.py:816(get)
    12620    0.037    0.000    0.124    0.000 _collections_abc.py:823(__contains__)
    20192    0.043    0.000    0.066    0.000 _collections_abc.py:835(items)
    20192    0.022    0.000    0.022    0.000 _collections_abc.py:857(__init__)
     2524    0.004    0.000    0.017    0.000 _collections_abc.py:860(__len__)
   989408    1.634    0.000    6.748    0.000 _collections_abc.py:904(__iter__)
    22716    0.190    0.000    0.510    0.000 _collections_abc.py:986(update)
    12620    0.014    0.000    0.018    0.000 _internal_utils.py:23(to_native_string)
     2524    0.007    0.000    0.011    0.000 _internal_utils.py:36(unicode_is_ascii)
    20192    0.044    0.000    0.094    0.000 _policybase.py:281(_sanitize_header)
     7572    0.045    0.000    0.070    0.000 _policybase.py:293(header_source_parse)
    20192    0.029    0.000    0.124    0.000 _policybase.py:311(header_fetch_parse)
    70672    0.082    0.000    0.209    0.000 abc.py:117(__instancecheck__)
     5048    0.061    0.000    0.289    0.000 adapters.py:136(__init__)
     5048    0.031    0.000    0.143    0.000 adapters.py:174(init_poolmanager)
     2524    0.011    0.000    0.016    0.000 adapters.py:239(cert_verify)
     2524    0.054    0.000    0.801    0.000 adapters.py:296(build_response)
     2524    0.031    0.000    2.727    0.001 adapters.py:333(get_connection)
     5048    0.030    0.000    1.252    0.000 adapters.py:362(close)
     2524    0.023    0.000    0.340    0.000 adapters.py:372(request_url)
     2524    0.002    0.000    0.002    0.000 adapters.py:401(add_headers)
     2524    0.110    0.000  149.063    0.059 adapters.py:436(send)
     5048    0.012    0.000    0.012    0.000 adapters.py:74(__init__)
     2524    0.051    0.000  169.703    0.067 api.py:14(request)
     2524    0.073    0.000  169.777    0.067 api.py:62(get)
    15144    0.021    0.000    0.028    0.000 client.py:1007(_output)
     2524    0.023    0.000    8.086    0.003 client.py:1028(_send_output)
     2524    0.069    0.000    0.214    0.000 client.py:1082(putrequest)
     2524    0.004    0.000    0.008    0.000 client.py:1209(_encode_request)
     2524    0.005    0.000    0.008    0.000 client.py:1213(_validate_method)
     2524    0.004    0.000    0.011    0.000 client.py:1222(_validate_path)
     2524    0.007    0.000    0.014    0.000 client.py:1230(_validate_host)
    12620    0.126    0.000    0.229    0.000 client.py:1238(putheader)
     2524    0.014    0.000    8.099    0.003 client.py:1266(endheaders)
     2524    0.013    0.000    8.817    0.003 client.py:1279(request)
     2524    0.098    0.000    8.804    0.003 client.py:1284(_send_request)
    12620    0.020    0.000    0.033    0.000 client.py:1286(<genexpr>)
     2524    0.045    0.000  132.711    0.053 client.py:1330(getresponse)
     2524    0.047    0.000    0.083    0.000 client.py:206(_read_headers)
     2524    0.054    0.000    1.239    0.000 client.py:224(parse_headers)
     2524    0.038    0.000    0.206    0.000 client.py:248(__init__)
     2524    0.076    0.000  131.070    0.052 client.py:278(_read_status)
     2524    0.080    0.000  132.460    0.052 client.py:311(begin)
     2524    0.007    0.000    0.020    0.000 client.py:383(_check_close)
     2524    0.008    0.000    0.063    0.000 client.py:412(_close_conn)
     2524    0.021    0.000    0.042    0.000 client.py:417(close)
     2524    0.009    0.000    0.011    0.000 client.py:429(flush)
    10112    0.010    0.000    0.010    0.000 client.py:440(isclosed)
     2532    0.059    0.000    0.526    0.000 client.py:450(read)
     2524    0.007    0.000    0.009    0.000 client.py:805(_get_content_length)
     2524    0.042    0.000    0.069    0.000 client.py:837(__init__)
     2524    0.004    0.000    0.004    0.000 client.py:883(_get_hostport)
     2524    0.025    0.000    0.536    0.000 client.py:953(close)
     2524    0.039    0.000    8.058    0.003 client.py:967(send)
