((?:\s|^)[Aa])cknowledgement$	\1cknowledgment
((?:\s|^)[Aa])cknowledgment$	\1cknowledgement
((?:\s|^)[Aa])eroplane$	\1irplane
((?:\s|^)[Aa])irplane$	\1eroplane
((?:\s|^)[Aa])esthetic$	\1sthetic
((?:\s|^)[Ee])sthetic$	\1esthetic
((?:\s|^)[Aa])geing$	\1ging
((?:\s|^)[Aa])ging$	\1geing
((?:\s|^)[Aa])luminium$	\1luminum
((?:\s|^)[Aa])luminum$	\1luminium
((?:\s|^)[Aa])moeba$	\1meba
((?:\s|^)[Aa])meba$	\1moeba
((?:\s|^)[Aa])naemia$	\1nemia
((?:\s|^)[Aa])nemia$	\1naemia
((?:\s|^)[Aa])naesthesia$	\1nesthesia
((?:\s|^)[Aa])nesthesia$	\1naesthesia
((?:\s|^)[Aa])nalyse$	\1nalyze
((?:\s|^)[Aa])nalyze$	\1nalyse
((?:\s|^)[Aa])nalogue$	\1nalog
((?:\s|^)[Aa])nalog$	\1nalogue
((?:\s|^)[Aa])nnexe$	\1nnex
((?:\s|^)[Aa])nnex$	\1nnexe
((?:\s|^)[Aa])pologise$	\1pologize
((?:\s|^)[Aa])pologize$	\1pologise
((?:\s|^)[Aa])rchaeology$	\1rcheology
((?:\s|^)[Aa])rcheology$	\1rchaeology
((?:\s|^)[Aa])rmour$	\1rmor
((?:\s|^)[Aa])rmor$	\1rmour
((?:\s|^)[Aa])rse$	\1ss
((?:\s|^)[Aa])ss$	\1rse
((?:\s|^)[Aa])rtefact$	\1rtifact
((?:\s|^)[Aa])rtifact$	\1rtefact
((?:\s|^)[Aa])uthorise$	\1uthorize
((?:\s|^)[Aa])uthorize$	\1uthorise
((?:\s|^)[Aa])xe$	\1x
((?:\s|^)[Aa])x$	\1xe

((?:\s|^)[Bb])ehaviour$	\1ehavior
((?:\s|^)[Bb])ehavior$	\1ehaviour
((?:\s|^)[Bb])roncho$	\1ronco
((?:\s|^)[Bb])ronco$	\1roncho

((?:\s|^)[Cc])aesium$	\1esium
((?:\s|^)[Cc])esium$	\1aesium
((?:\s|^)[Cc])hamomile$	\1amomile
((?:\s|^)[Cc])amomile$	\1hamomile
((?:\s|^)[Cc])ancelled$	\1anceled
((?:\s|^)[Cc])anceled$	\1ancelled
((?:\s|^)[Cc])arburettor$	\1arburetor
((?:\s|^)[Cc])arburetor$	\1arburettor
((?:\s|^)[Cc])atalogue$	\1atalog
((?:\s|^)[Cc])atalog$	\1atalogue
((?:\s|^)[Cc])entre$	\1enter
((?:\s|^)[Cc])enter$	\1entre
((?:\s|^)[Cc])heque$	\1heck
((?:\s|^)[Cc])heck$	\1heque
((?:\s|^)[Cc])hequer$	\1hecker
